feature_index,extracted_raw_id,extracted_raw_id_type,extracted_from_key,all_candidate_keys_present,normalized_raw_string,normalized_trimmed,normalized_digits_only,normalized_padded_5_if_digits,crosswalk_direct_match,crosswalk_trimmed_match,crosswalk_digits_only_match,crosswalk_padded_5_match,matched_munid_5,matched_mid_7
0,10014,number,mid,"{""mid"":10014}",10014,10014,10014,10014,true,false,false,false,10014,1012045
1,10049,number,mid,"{""mid"":10049}",10049,10049,10049,10049,true,false,false,false,10049,1015698
2,10146,number,mid,"{""mid"":10146}",10146,10146,10146,10146,true,false,false,false,10146,1017148
3,10189,number,mid,"{""mid"":10189}",10189,10189,10189,10189,true,false,false,false,10189,1026177
4,10197,number,mid,"{""mid"":10197}",10197,10197,10197,10197,true,false,false,false,10197,1028426
5,10219,number,mid,"{""mid"":10219}",10219,10219,10219,10219,true,false,false,false,10219,1031837
6,10227,number,mid,"{""mid"":10227}",10227,10227,10227,10227,true,false,false,false,10227,1037615
7,10260,number,mid,"{""mid"":10260}",10260,10260,10260,10260,true,false,false,false,10260,1039821
8,10294,number,mid,"{""mid"":10294}",10294,10294,10294,10294,true,false,false,false,10294,1041595
9,10308,number,mid,"{""mid"":10308}",10308,10308,10308,10308,true,false,false,false,10308,1045979
10,10324,number,mid,"{""mid"":10324}",10324,10324,10324,10324,true,false,false,false,10324,1049987
11,10359,number,mid,"{""mid"":10359}",10359,10359,10359,10359,false,false,false,false,,
12,10375,number,mid,"{""mid"":10375}",10375,10375,10375,10375,false,false,false,false,,
13,10391,number,mid,"{""mid"":10391}",10391,10391,10391,10391,false,false,false,false,,
14,10405,number,mid,"{""mid"":10405}",10405,10405,10405,10405,false,false,false,false,,
15,10421,number,mid,"{""mid"":10421}",10421,10421,10421,10421,false,false,false,false,,
16,10448,number,mid,"{""mid"":10448}",10448,10448,10448,10448,false,false,false,false,,
17,10472,number,mid,"{""mid"":10472}",10472,10472,10472,10472,false,false,false,false,,
18,10499,number,mid,"{""mid"":10499}",10499,10499,10499,10499,false,false,false,false,,
19,10529,number,mid,"{""mid"":10529}",10529,10529,10529,10529,false,false,false,false,,
20,10545,number,mid,"{""mid"":10545}",10545,10545,10545,10545,false,false,false,false,,
21,10570,number,mid,"{""mid"":10570}",10570,10570,10570,10570,false,false,false,false,,
22,10588,number,mid,"{""mid"":10588}",10588,10588,10588,10588,true,false,false,false,10588,1116119
23,10600,number,mid,"{""mid"":10600}",10600,10600,10600,10600,false,false,false,false,,
24,10626,number,mid,"{""mid"":10626}",10626,10626,10626,10626,false,false,false,false,,
25,10634,number,mid,"{""mid"":10634}",10634,10634,10634,10634,false,false,false,false,,
26,10685,number,mid,"{""mid"":10685}",10685,10685,10685,10685,false,false,false,false,,
27,10715,number,mid,"{""mid"":10715}",10715,10715,10715,10715,false,false,false,false,,
28,10731,number,mid,"{""mid"":10731}",10731,10731,10731,10731,false,false,false,false,,
29,10766,number,mid,"{""mid"":10766}",10766,10766,10766,10766,false,false,false,false,,
30,10774,number,mid,"{""mid"":10774}",10774,10774,10774,10774,false,false,false,false,,
31,10839,number,mid,"{""mid"":10839}",10839,10839,10839,10839,false,false,false,false,,
32,10847,number,mid,"{""mid"":10847}",10847,10847,10847,10847,false,false,false,false,,
33,10863,number,mid,"{""mid"":10863}",10863,10863,10863,10863,false,false,false,false,,
34,10871,number,mid,"{""mid"":10871}",10871,10871,10871,10871,false,false,false,false,,
35,10928,number,mid,"{""mid"":10928}",10928,10928,10928,10928,false,false,false,false,,
36,10987,number,mid,"{""mid"":10987}",10987,10987,10987,10987,false,false,false,false,,
37,11045,number,mid,"{""mid"":11045}",11045,11045,11045,11045,false,false,false,false,,
38,11061,number,mid,"{""mid"":11061}",11061,11061,11061,11061,false,false,false,false,,
39,11088,number,mid,"{""mid"":11088}",11088,11088,11088,11088,false,false,false,false,,
40,11100,number,mid,"{""mid"":11100}",11100,11100,11100,11100,true,false,false,false,11100,1244359
41,11118,number,mid,"{""mid"":11118}",11118,11118,11118,11118,false,false,false,false,,
42,11126,number,mid,"{""mid"":11126}",11126,11126,11126,11126,false,false,false,false,,
43,11142,number,mid,"{""mid"":11142}",11142,11142,11142,11142,false,false,false,false,,
44,11177,number,mid,"{""mid"":11177}",11177,11177,11177,11177,false,false,false,false,,
45,11207,number,mid,"{""mid"":11207}",11207,11207,11207,11207,false,false,false,false,,
46,11231,number,mid,"{""mid"":11231}",11231,11231,11231,11231,false,false,false,false,,
47,11240,number,mid,"{""mid"":11240}",11240,11240,11240,11240,false,false,false,false,,
48,11258,number,mid,"{""mid"":11258}",11258,11258,11258,11258,false,false,false,false,,
49,11266,number,mid,"{""mid"":11266}",11266,11266,11266,11266,false,false,false,false,,
50,11274,number,mid,"{""mid"":11274}",11274,11274,11274,11274,false,false,false,false,,
51,11282,number,mid,"{""mid"":11282}",11282,11282,11282,11282,false,false,false,false,,
52,11304,number,mid,"{""mid"":11304}",11304,11304,11304,11304,false,false,false,false,,
53,11312,number,mid,"{""mid"":11312}",11312,11312,11312,11312,false,false,false,false,,
54,11339,number,mid,"{""mid"":11339}",11339,11339,11339,11339,false,false,false,false,,
55,11428,number,mid,"{""mid"":11428}",11428,11428,11428,11428,false,false,false,false,,
