munid_5,name,raw_geometry_kind,failure_stage,failure_reason,detail,raw_point_count,ring_count_detected,has_nan,bbox
10243,Čapljina,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),81,2,false,
11185,Zenica,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),145,3,false,
11215,Živinice,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),368,3,false,
11410,Grad Mostar,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),96,3,false,
11436,Bosanski Petrovac,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),127,3,false,
11444,Foča (FBIH),svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),145,3,false,
11592,Trnovo (FBIH),svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),101,4,false,
20176,Istočna Ilidža,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),49,2,false,
20184,Istočni Drvar,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),71,3,false,
20192,Istočni Mostar,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),87,4,false,
20338,Ljubinje,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),94,2,false,
20419,Novo Goražde,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),44,2,false,
20443,Pale (RS),svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),96,2,false,
20516,Rogatica,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),125,2,false,
20621,Han Pijesak,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),69,2,false,
20664,Šekovići,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),118,4,false,
20672,Šipovo,svg_path,polygon_validate,non_finite,bbox contains non-finite value(s),114,2,false,
