sid_excel,settlement_name,source_field,raw_value
1012045:4,Naseljeno mjesto,mid,1012045
1012045:5,Batkuša,mid,1012045
1012045:6,Brvnik,mid,1012045
1012045:7,Crkvina,mid,1012045
1012045:8,Donja Slatina,mid,1012045
1012045:9,Donji Hasić,mid,1012045
1012045:10,Gajevi,mid,1012045
1012045:11,Gornja Slatina,mid,1012045
1012045:12,Gornji Hasić,mid,1012045
1012045:13,Grebnice,mid,1012045
1012045:14,Kornica,mid,1012045
1012045:15,Kruškovo Polje,mid,1012045
1012045:16,Lugovi,mid,1012045
1012045:17,Novo Selo,mid,1012045
1012045:18,Njegoševo,mid,1012045
1012045:19,Obudovac,mid,1012045
1012045:20,Pisari,mid,1012045
1012045:21,Srednja Slatina,mid,1012045
1012045:22,Šamac,mid,1012045
1012045:23,Škarić,mid,1012045
1012045:24,Tišina,mid,1012045
1012045:25,Zasavica,mid,1012045
1015698:4,Naseljeno mjesto,mid,1015698
1015698:5,Ajdinovići,mid,1015698
1015698:6,Babin Potok,mid,1015698
1015698:7,Ban Polje,mid,1015698
1015698:8,Barimo,mid,1015698
1015698:9,Batkovica,mid,1015698
1015698:10,Batkušići,mid,1015698
1015698:11,Bijela,mid,1015698
1015698:12,Biljezi,mid,1015698
1015698:13,Bistrivode,mid,1015698
1015698:14,Bjegovići,mid,1015698
1015698:15,Bjeljajci,mid,1015698
1015698:16,Blace,mid,1015698
1015698:17,Blaž,mid,1015698
1015698:18,Bodežnik,mid,1015698
1015698:19,Bogdašići,mid,1015698
1015698:20,Bogilice,mid,1015698
1015698:21,Borovac,mid,1015698
1015698:22,Brezje,mid,1015698
1015698:23,Brodar,mid,1015698
1015698:24,Bursići,mid,1015698
1015698:25,Crijep,mid,1015698
1015698:26,Crnčići,mid,1015698
1015698:27,Crni Vrh,mid,1015698
1015698:28,Čengići,mid,1015698
1015698:29,Češalj,mid,1015698
1015698:30,Ćaćice,mid,1015698
1015698:31,Dobrunska Rijeka,mid,1015698
1015698:32,Donja Brštanica,mid,1015698
1015698:33,Donja Crnča,mid,1015698
1015698:34,Donja Jagodina,mid,1015698
1015698:35,Donja Lijeska,mid,1015698
1015698:36,Donje Dubovo,mid,1015698
1015698:37,Donje Štitarevo,mid,1015698
1015698:38,Donje Vardište,mid,1015698
1015698:39,Donji Dobrun,mid,1015698
1015698:40,Donji Dubovik,mid,1015698
1015698:41,Dragomilje,mid,1015698
1015698:42,Drina,mid,1015698
1015698:43,Drinsko,mid,1015698
1015698:44,Drokan,mid,1015698
1015698:45,Dubočica,mid,1015698
1015698:46,Dušče,mid,1015698
1015698:47,Džankići,mid,1015698
1015698:48,Đipi,mid,1015698
1015698:49,Đurevići,mid,1015698
1015698:50,Faljenovići,mid,1015698
1015698:51,Gazibare,mid,1015698
1015698:52,Glogova,mid,1015698
1015698:53,Gornja Brštanica,mid,1015698
1015698:54,Gornja Crnča,mid,1015698
1015698:55,Gornja Jagodina,mid,1015698
1015698:56,Gornja Lijeska,mid,1015698
1015698:57,Gornje Dubovo,mid,1015698
1015698:58,Gornje Štitarevo,mid,1015698
1015698:59,Gornji Dobrun,mid,1015698
1015698:60,Gornji Dubovik,mid,1015698
1015698:61,Granje,mid,1015698
1015698:62,Greben,mid,1015698
1015698:63,Hadrovići,mid,1015698
1015698:64,Haluge,mid,1015698
1015698:65,Hamzići,mid,1015698
1015698:66,Han Brdo,mid,1015698
1015698:67,Holijaci,mid,1015698
1015698:68,Holijačka Luka,mid,1015698
1015698:69,Hranjevac,mid,1015698
1015698:70,Jablanica,mid,1015698
1015698:71,Jarci,mid,1015698
1015698:72,Jelačići,mid,1015698
1015698:73,Jelašci,mid,1015698
1015698:74,Jelići,mid,1015698
1015698:75,Jezernice,mid,1015698
1015698:76,Kabernik,mid,1015698
1015698:77,Kamenica,mid,1015698
1015698:78,Kapetanovići,mid,1015698
1015698:79,Klašnik,mid,1015698
1015698:80,Klisura,mid,1015698
1015698:81,Kočarim,mid,1015698
1015698:82,Kopito,mid,1015698
1015698:83,Koritnik,mid,1015698
1015698:84,Kosovo Polje,mid,1015698
