munid_5,name,reason,layer
10243,Čapljina,non_finite_coord,municipality
11185,Zenica,non_finite_coord,municipality
11215,Živinice,non_finite_coord,municipality
11410,Grad Mostar,non_finite_coord,municipality
11436,Bosanski Petrovac,non_finite_coord,municipality
11444,Foča (FBIH),non_finite_coord,municipality
11592,Trnovo (FBIH),non_finite_coord,municipality
20176,Istočna Ilidža,non_finite_coord,municipality
20184,Istočni Drvar,non_finite_coord,municipality
20192,Istočni Mostar,non_finite_coord,municipality
20338,Ljubinje,non_finite_coord,municipality
20419,Novo Goražde,non_finite_coord,municipality
20443,Pale (RS),non_finite_coord,municipality
20516,Rogatica,non_finite_coord,municipality
20621,Han Pijesak,non_finite_coord,municipality
20664,Šekovići,non_finite_coord,municipality
20672,Šipovo,non_finite_coord,municipality
