mun_id,poly_count,union_attempted,union_result,failure_reason,failure_detail,normalization_level_attempted,normalization_level_succeeded,union_error_message
10014,20,true,success,,,2,0,
10049,59,true,fallback_collection,union_exception,"Unable to complete output ring starting at [1.0000276996, 136.6499923956]. Last matching segment found ends at [28.10699",2,,"Unable to complete output ring starting at [1.0000276996, 136.6499923956]. Last matching segment found ends at [28.10699"
10146,35,true,fallback_collection,union_exception,"Unable to complete output ring starting at [102.5630439032, 346.9349786196]. Last matching segment found ends at [164.77",2,,"Unable to complete output ring starting at [102.5630439032, 346.9349786196]. Last matching segment found ends at [164.77"
10189,28,true,success,,,2,0,
10197,78,true,fallback_collection,union_exception,"Unable to complete output ring starting at [404.37587301637780063728, 400.88774059187243395138]. Last matching segment f",2,,"Unable to complete output ring starting at [404.37587301637780063728, 400.88774059187243395138]. Last matching segment f"
10219,47,true,fallback_collection,union_exception,"Unable to complete output ring starting at [496.1339603972, 403.4699593672]. Last matching segment found ends at [523.90",2,,"Unable to complete output ring starting at [496.1339603972, 403.4699593672]. Last matching segment found ends at [523.90"
10227,54,true,fallback_collection,union_exception,"Unable to complete output ring starting at [24.47275095077590361446, 67.96725665802409638554]. Last matching segment fou",2,,"Unable to complete output ring starting at [24.47275095077590361446, 67.96725665802409638554]. Last matching segment fou"
10243,32,true,fallback_collection,union_exception,"Unable to complete output ring starting at [452.5689789072, 721.7610390292]. Last matching segment found ends at [506.68",2,,"Unable to complete output ring starting at [452.5689789072, 721.7610390292]. Last matching segment found ends at [506.68"
10260,21,true,fallback_collection,union_exception,"Unable to complete output ring starting at [438.7679574772, 677.6310451788]. Last matching segment found ends at [471.19",2,,"Unable to complete output ring starting at [438.7679574772, 677.6310451788]. Last matching segment found ends at [471.19"
10294,68,true,fallback_collection,union_exception,"Unable to complete output ring starting at [401.03, 390.8819614792]. Last matching segment found ends at [401.2869869736",2,,"Unable to complete output ring starting at [401.03, 390.8819614792]. Last matching segment found ends at [401.2869869736"
10308,60,true,fallback_collection,union_exception,"Unable to complete output ring starting at [279.573022538, 530.3199810952]. Last matching segment found ends at [340.177",2,,"Unable to complete output ring starting at [279.573022538, 530.3199810952]. Last matching segment found ends at [340.177"
10324,55,true,fallback_collection,union_exception,"Unable to complete output ring starting at [519.5719627372, 436.429045056]. Last matching segment found ends at [519.726",2,,"Unable to complete output ring starting at [519.5719627372, 436.429045056]. Last matching segment found ends at [519.726"
10359,55,true,fallback_collection,union_exception,"Unable to complete output ring starting at [205.047036834, 338.5420400636]. Last matching segment found ends at [287.782",2,,"Unable to complete output ring starting at [205.047036834, 338.5420400636]. Last matching segment found ends at [287.782"
10375,52,true,fallback_collection,union_exception,"Unable to complete output ring starting at [410.1760385288, 454.24502871560003]. Last matching segment found ends at [43",2,,"Unable to complete output ring starting at [410.1760385288, 454.24502871560003]. Last matching segment found ends at [43"
10391,34,true,fallback_collection,union_exception,"Unable to complete output ring starting at [633.8089835348, 127.8330360792]. Last matching segment found ends at [633.84",2,,"Unable to complete output ring starting at [633.8089835348, 127.8330360792]. Last matching segment found ends at [633.84"
10405,13,true,fallback_collection,union_exception,"Unable to complete output ring starting at [361.8910278128, 623.3900465732]. Last matching segment found ends at [406.19",2,,"Unable to complete output ring starting at [361.8910278128, 623.3900465732]. Last matching segment found ends at [406.19"
10421,33,true,fallback_collection,union_exception,"Unable to complete output ring starting at [504.76960891443978071051, 535.42394198314161670671]. Last matching segment f",2,,"Unable to complete output ring starting at [504.76960891443978071051, 535.42394198314161670671]. Last matching segment f"
10448,106,true,fallback_collection,union_exception,"Unable to complete output ring starting at [535.2959625184, 381.1759872116]. Last matching segment found ends at [548.87",2,,"Unable to complete output ring starting at [535.2959625184, 381.1759872116]. Last matching segment found ends at [548.87"
10472,82,true,fallback_collection,union_exception,"Unable to complete output ring starting at [529.1390103256, 415.48796308560003]. Last matching segment found ends at [55",2,,"Unable to complete output ring starting at [529.1390103256, 415.48796308560003]. Last matching segment found ends at [55"
10499,51,true,success,,,2,0,
10529,168,true,fallback_collection,union_exception,"Unable to complete output ring starting at [535.2010261544, 534.6399616428]. Last matching segment found ends at [535.23",2,,"Unable to complete output ring starting at [535.2010261544, 534.6399616428]. Last matching segment found ends at [535.23"
10545,27,true,success,,,2,0,
10570,34,true,fallback_collection,union_exception,"Unable to complete output ring starting at [401.006031734, 618.5469760596]. Last matching segment found ends at [467.954",2,,"Unable to complete output ring starting at [401.006031734, 618.5469760596]. Last matching segment found ends at [467.954"
10588,59,true,fallback_collection,union_exception,"Unable to complete output ring starting at [192.6619771736, 430.5929965728]. Last matching segment found ends at [273.53",2,,"Unable to complete output ring starting at [192.6619771736, 430.5929965728]. Last matching segment found ends at [273.53"
10600,44,true,fallback_collection,union_exception,"Unable to complete output ring starting at [658.77876302205348598885, 244.92946261187945370521]. Last matching segment f",2,,"Unable to complete output ring starting at [658.77876302205348598885, 244.92946261187945370521]. Last matching segment f"
10626,35,true,fallback_collection,union_exception,"Unable to complete output ring starting at [381.1000381204, 666.9749553]. Last matching segment found ends at [446.14695",2,,"Unable to complete output ring starting at [381.1000381204, 666.9749553]. Last matching segment found ends at [446.14695"
10634,40,true,success,,,2,0,
10685,27,true,fallback_collection,union_exception,"Unable to complete output ring starting at [433.3329916328, 783.1650332968]. Last matching segment found ends at [481.33",2,,"Unable to complete output ring starting at [433.3329916328, 783.1650332968]. Last matching segment found ends at [481.33"
10715,45,true,fallback_collection,union_exception,"Each LinearRing of a Polygon must have 4 or more Positions.",2,,"Each LinearRing of a Polygon must have 4 or more Positions."
10731,20,true,fallback_collection,union_exception,"Unable to complete output ring starting at [321.517976074, 577.4690453172]. Last matching segment found ends at [382.431",2,,"Unable to complete output ring starting at [321.517976074, 577.4690453172]. Last matching segment found ends at [382.431"
