sid,name,mid,municipality_name,lat,lon,source_row_id
1012045:4,Naseljeno mjesto,1012045,Šamac,,,Šamac:4
1012045:5,Batkuša,1012045,Šamac,,,Šamac:5
1012045:6,Brvnik,1012045,Šamac,,,Šamac:6
1012045:7,Crkvina,1012045,Šamac,,,Šamac:7
1012045:8,Donja Slatina,1012045,Šamac,,,Šamac:8
1012045:9,Donji Hasić,1012045,Šamac,,,Šamac:9
1012045:10,Gajevi,1012045,Šamac,,,Šamac:10
1012045:11,Gornja Slatina,1012045,Šamac,,,Šamac:11
1012045:12,Gornji Hasić,1012045,Šamac,,,Šamac:12
1012045:13,Grebnice,1012045,Šamac,,,Šamac:13
1012045:14,Kornica,1012045,Šamac,,,Šamac:14
1012045:15,Kruškovo Polje,1012045,Šamac,,,Šamac:15
1012045:16,Lugovi,1012045,Šamac,,,Šamac:16
1012045:17,Novo Selo,1012045,Šamac,,,Šamac:17
1012045:18,Njegoševo,1012045,Šamac,,,Šamac:18
1012045:19,Obudovac,1012045,Šamac,,,Šamac:19
1012045:20,Pisari,1012045,Šamac,,,Šamac:20
1012045:21,Srednja Slatina,1012045,Šamac,,,Šamac:21
1012045:22,Šamac,1012045,Šamac,,,Šamac:22
1012045:23,Škarić,1012045,Šamac,,,Šamac:23
1012045:24,Tišina,1012045,Šamac,,,Šamac:24
1012045:25,Zasavica,1012045,Šamac,,,Šamac:25
1015698:4,Naseljeno mjesto,1015698,Višegrad,,,Višegrad:4
1015698:5,Ajdinovići,1015698,Višegrad,,,Višegrad:5
1015698:6,Babin Potok,1015698,Višegrad,,,Višegrad:6
1015698:7,Ban Polje,1015698,Višegrad,,,Višegrad:7
1015698:8,Barimo,1015698,Višegrad,,,Višegrad:8
1015698:9,Batkovica,1015698,Višegrad,,,Višegrad:9
1015698:10,Batkušići,1015698,Višegrad,,,Višegrad:10
1015698:11,Bijela,1015698,Višegrad,,,Višegrad:11
1015698:12,Biljezi,1015698,Višegrad,,,Višegrad:12
1015698:13,Bistrivode,1015698,Višegrad,,,Višegrad:13
1015698:14,Bjegovići,1015698,Višegrad,,,Višegrad:14
1015698:15,Bjeljajci,1015698,Višegrad,,,Višegrad:15
1015698:16,Blace,1015698,Višegrad,,,Višegrad:16
1015698:17,Blaž,1015698,Višegrad,,,Višegrad:17
1015698:18,Bodežnik,1015698,Višegrad,,,Višegrad:18
1015698:19,Bogdašići,1015698,Višegrad,,,Višegrad:19
1015698:20,Bogilice,1015698,Višegrad,,,Višegrad:20
1015698:21,Borovac,1015698,Višegrad,,,Višegrad:21
1015698:22,Brezje,1015698,Višegrad,,,Višegrad:22
1015698:23,Brodar,1015698,Višegrad,,,Višegrad:23
1015698:24,Bursići,1015698,Višegrad,,,Višegrad:24
1015698:25,Crijep,1015698,Višegrad,,,Višegrad:25
1015698:26,Crnčići,1015698,Višegrad,,,Višegrad:26
1015698:27,Crni Vrh,1015698,Višegrad,,,Višegrad:27
1015698:28,Čengići,1015698,Višegrad,,,Višegrad:28
1015698:29,Češalj,1015698,Višegrad,,,Višegrad:29
1015698:30,Ćaćice,1015698,Višegrad,,,Višegrad:30
1015698:31,Dobrunska Rijeka,1015698,Višegrad,,,Višegrad:31
1015698:32,Donja Brštanica,1015698,Višegrad,,,Višegrad:32
1015698:33,Donja Crnča,1015698,Višegrad,,,Višegrad:33
1015698:34,Donja Jagodina,1015698,Višegrad,,,Višegrad:34
1015698:35,Donja Lijeska,1015698,Višegrad,,,Višegrad:35
1015698:36,Donje Dubovo,1015698,Višegrad,,,Višegrad:36
1015698:37,Donje Štitarevo,1015698,Višegrad,,,Višegrad:37
1015698:38,Donje Vardište,1015698,Višegrad,,,Višegrad:38
1015698:39,Donji Dobrun,1015698,Višegrad,,,Višegrad:39
1015698:40,Donji Dubovik,1015698,Višegrad,,,Višegrad:40
1015698:41,Dragomilje,1015698,Višegrad,,,Višegrad:41
1015698:42,Drina,1015698,Višegrad,,,Višegrad:42
1015698:43,Drinsko,1015698,Višegrad,,,Višegrad:43
1015698:44,Drokan,1015698,Višegrad,,,Višegrad:44
1015698:45,Dubočica,1015698,Višegrad,,,Višegrad:45
1015698:46,Dušče,1015698,Višegrad,,,Višegrad:46
1015698:47,Džankići,1015698,Višegrad,,,Višegrad:47
1015698:48,Đipi,1015698,Višegrad,,,Višegrad:48
1015698:49,Đurevići,1015698,Višegrad,,,Višegrad:49
1015698:50,Faljenovići,1015698,Višegrad,,,Višegrad:50
1015698:51,Gazibare,1015698,Višegrad,,,Višegrad:51
1015698:52,Glogova,1015698,Višegrad,,,Višegrad:52
1015698:53,Gornja Brštanica,1015698,Višegrad,,,Višegrad:53
