join_key,mid,excel_count,svg_count,example_excel_sids,example_svg_ids,excel_names,svg_names
10014|banovici,10014,0,20,,100013; 100021; 100030,,Banovici; Banovici; Banovici
10049|bihac,10049,0,59,,100811; 100820; 100838,,Bihac; Bihac; Bihac
1012045|batkusa,1012045,1,0,1012045:5,,Batkuša,
1012045|brvnik,1012045,1,0,1012045:6,,Brvnik,
1012045|crkvina,1012045,1,0,1012045:7,,Crkvina,
1012045|donja slatina,1012045,1,0,1012045:8,,Donja Slatina,
1012045|donji hasic,1012045,1,0,1012045:9,,Donji Hasić,
1012045|gajevi,1012045,1,0,1012045:10,,Gajevi,
1012045|gornja slatina,1012045,1,0,1012045:11,,Gornja Slatina,
1012045|gornji hasic,1012045,1,0,1012045:12,,Gornji Hasić,
1012045|grebnice,1012045,1,0,1012045:13,,Grebnice,
1012045|kornica,1012045,1,0,1012045:14,,Kornica,
1012045|kruskovo polje,1012045,1,0,1012045:15,,Kruškovo Polje,
1012045|lugovi,1012045,1,0,1012045:16,,Lugovi,
1012045|naseljeno mjesto,1012045,1,0,1012045:4,,Naseljeno mjesto,
1012045|novo selo,1012045,1,0,1012045:17,,Novo Selo,
1012045|njegosevo,1012045,1,0,1012045:18,,Njegoševo,
1012045|obudovac,1012045,1,0,1012045:19,,Obudovac,
1012045|pisari,1012045,1,0,1012045:20,,Pisari,
1012045|samac,1012045,1,0,1012045:22,,Šamac,
1012045|skaric,1012045,1,0,1012045:23,,Škarić,
1012045|srednja slatina,1012045,1,0,1012045:21,,Srednja Slatina,
1012045|tisina,1012045,1,0,1012045:24,,Tišina,
1012045|zasavica,1012045,1,0,1012045:25,,Zasavica,
10146|bosansko grahovo,10146,0,35,,106151; 106160; 106178,,Bosansko Grahovo; Bosansko Grahovo; Bosansko Grahovo
1015698|ajdinovici,1015698,1,0,1015698:5,,Ajdinovići,
1015698|babin potok,1015698,1,0,1015698:6,,Babin Potok,
1015698|ban polje,1015698,1,0,1015698:7,,Ban Polje,
1015698|barimo,1015698,1,0,1015698:8,,Barimo,
1015698|batkovica,1015698,1,0,1015698:9,,Batkovica,
1015698|batkusici,1015698,1,0,1015698:10,,Batkušići,
1015698|bijela,1015698,1,0,1015698:11,,Bijela,
1015698|biljezi,1015698,1,0,1015698:12,,Biljezi,
1015698|bistrivode,1015698,1,0,1015698:13,,Bistrivode,
1015698|bjegovici,1015698,1,0,1015698:14,,Bjegovići,
1015698|bjeljajci,1015698,1,0,1015698:15,,Bjeljajci,
1015698|blace,1015698,1,0,1015698:16,,Blace,
1015698|blaz,1015698,1,0,1015698:17,,Blaž,
1015698|bodeznik,1015698,1,0,1015698:18,,Bodežnik,
1015698|bogdasici,1015698,1,0,1015698:19,,Bogdašići,
1015698|bogilice,1015698,1,0,1015698:20,,Bogilice,
1015698|borovac,1015698,1,0,1015698:21,,Borovac,
1015698|brezje,1015698,1,0,1015698:22,,Brezje,
1015698|brodar,1015698,1,0,1015698:23,,Brodar,
1015698|bursici,1015698,1,0,1015698:24,,Bursići,
1015698|cacice,1015698,1,0,1015698:30,,Ćaćice,
1015698|cengici,1015698,1,0,1015698:28,,Čengići,
1015698|cesalj,1015698,1,0,1015698:29,,Češalj,
1015698|crijep,1015698,1,0,1015698:25,,Crijep,
1015698|crncici,1015698,1,0,1015698:26,,Crnčići,
1015698|crni vrh,1015698,1,0,1015698:27,,Crni Vrh,
1015698|dobrunska rijeka,1015698,1,0,1015698:31,,Dobrunska Rijeka,
1015698|donja brstanica,1015698,1,0,1015698:32,,Donja Brštanica,
1015698|donja crnca,1015698,1,0,1015698:33,,Donja Crnča,
1015698|donja jagodina,1015698,1,0,1015698:34,,Donja Jagodina,
1015698|donja lijeska,1015698,1,0,1015698:35,,Donja Lijeska,
1015698|donje dubovo,1015698,1,0,1015698:36,,Donje Dubovo,
1015698|donje stitarevo,1015698,1,0,1015698:37,,Donje Štitarevo,
1015698|donje vardiste,1015698,1,0,1015698:38,,Donje Vardište,
1015698|donji dobrun,1015698,1,0,1015698:39,,Donji Dobrun,
1015698|donji dubovik,1015698,1,0,1015698:40,,Donji Dubovik,
1015698|dragomilje,1015698,1,0,1015698:41,,Dragomilje,
1015698|drina,1015698,1,0,1015698:42,,Drina,
1015698|drinsko,1015698,1,0,1015698:43,,Drinsko,
1015698|drokan,1015698,1,0,1015698:44,,Drokan,
1015698|dubocica,1015698,1,0,1015698:45,,Dubočica,
1015698|dusce,1015698,1,0,1015698:46,,Dušče,
1015698|dzankici,1015698,1,0,1015698:47,,Džankići,
1015698|faljenovici,1015698,1,0,1015698:50,,Faljenovići,
1015698|gazibare,1015698,1,0,1015698:51,,Gazibare,
1015698|glogova,1015698,1,0,1015698:52,,Glogova,
1015698|gornja brstanica,1015698,1,0,1015698:53,,Gornja Brštanica,
1015698|gornja crnca,1015698,1,0,1015698:54,,Gornja Crnča,
1015698|gornja jagodina,1015698,1,0,1015698:55,,Gornja Jagodina,
1015698|gornja lijeska,1015698,1,0,1015698:56,,Gornja Lijeska,
1015698|gornje dubovo,1015698,1,0,1015698:57,,Gornje Dubovo,
1015698|gornje stitarevo,1015698,1,0,1015698:58,,Gornje Štitarevo,
1015698|gornji dobrun,1015698,1,0,1015698:59,,Gornji Dobrun,
1015698|gornji dubovik,1015698,1,0,1015698:60,,Gornji Dubovik,
1015698|granje,1015698,1,0,1015698:61,,Granje,
1015698|greben,1015698,1,0,1015698:62,,Greben,
1015698|hadrovici,1015698,1,0,1015698:63,,Hadrovići,
1015698|haluge,1015698,1,0,1015698:64,,Haluge,
1015698|hamzici,1015698,1,0,1015698:65,,Hamzići,
1015698|han brdo,1015698,1,0,1015698:66,,Han Brdo,
1015698|holijaci,1015698,1,0,1015698:67,,Holijaci,
1015698|holijacka luka,1015698,1,0,1015698:68,,Holijačka Luka,
1015698|hranjevac,1015698,1,0,1015698:69,,Hranjevac,
1015698|ipi,1015698,1,0,1015698:48,,Đipi,
1015698|jablanica,1015698,1,0,1015698:70,,Jablanica,
1015698|jarci,1015698,1,0,1015698:71,,Jarci,
1015698|jelacici,1015698,1,0,1015698:72,,Jelačići,
1015698|jelasci,1015698,1,0,1015698:73,,Jelašci,
1015698|jelici,1015698,1,0,1015698:74,,Jelići,
1015698|jezernice,1015698,1,0,1015698:75,,Jezernice,
1015698|kabernik,1015698,1,0,1015698:76,,Kabernik,
1015698|kamenica,1015698,1,0,1015698:77,,Kamenica,
1015698|kapetanovici,1015698,1,0,1015698:78,,Kapetanovići,
1015698|klasnik,1015698,1,0,1015698:79,,Klašnik,
1015698|klisura,1015698,1,0,1015698:80,,Klisura,
1015698|kocarim,1015698,1,0,1015698:81,,Kočarim,
1015698|kopito,1015698,1,0,1015698:82,,Kopito,
1015698|koritnik,1015698,1,0,1015698:83,,Koritnik,
1015698|kosovo polje,1015698,1,0,1015698:84,,Kosovo Polje,
1015698|kragujevac,1015698,1,0,1015698:85,,Kragujevac,
1015698|kuka,1015698,1,0,1015698:86,,Kuka,
1015698|kupusovici,1015698,1,0,1015698:87,,Kupusovići,
1015698|kurtalici,1015698,1,0,1015698:88,,Kurtalići,
1015698|kustur polje,1015698,1,0,1015698:89,,Kustur Polje,
1015698|lasci,1015698,1,0,1015698:90,,Lasci,
1015698|loznica,1015698,1,0,1015698:91,,Loznica,
1015698|macute,1015698,1,0,1015698:92,,Macute,
1015698|madzarevici,1015698,1,0,1015698:93,,Madžarevići,
1015698|mala gostilja,1015698,1,0,1015698:94,,Mala Gostilja,
1015698|mangalin han,1015698,1,0,1015698:95,,Mangalin Han,
1015698|masali,1015698,1,0,1015698:96,,Masali,
1015698|me e a,1015698,1,0,1015698:97,,Međeđa,
1015698|me uselje,1015698,1,0,1015698:98,,Međuselje,
1015698|menzilovici,1015698,1,0,1015698:99,,Menzilovići,
1015698|meremislje,1015698,1,0,1015698:100,,Meremišlje,
1015698|milosevici,1015698,1,0,1015698:101,,Miloševići,
1015698|mirlovici,1015698,1,0,1015698:102,,Mirlovići,
1015698|mramorice,1015698,1,0,1015698:103,,Mramorice,
1015698|musici,1015698,1,0,1015698:104,,Mušići,
1015698|naseljeno mjesto,1015698,1,0,1015698:4,,Naseljeno mjesto,
1015698|nebogovine,1015698,1,0,1015698:105,,Nebogovine,
1015698|nezuci,1015698,1,0,1015698:106,,Nezuci,
1015698|obravnje,1015698,1,0,1015698:107,,Obravnje,
1015698|odzak,1015698,1,0,1015698:108,,Odžak,
1015698|okolista,1015698,1,0,1015698:109,,Okolišta,
1015698|okrugla,1015698,1,0,1015698:110,,Okrugla,
1015698|omerovici,1015698,1,0,1015698:111,,Omerovići,
1015698|oplave,1015698,1,0,1015698:112,,Oplave,
1015698|orahovci,1015698,1,0,1015698:113,,Orahovci,
1015698|palez,1015698,1,0,1015698:114,,Palež,
1015698|paocici,1015698,1,0,1015698:115,,Paočići,
1015698|pijavice,1015698,1,0,1015698:116,,Pijavice,
1015698|podgorje,1015698,1,0,1015698:117,,Podgorje,
1015698|poljanice,1015698,1,0,1015698:118,,Poljanice,
1015698|polje,1015698,1,0,1015698:119,,Polje,
1015698|povjestaca,1015698,1,0,1015698:120,,Povjestača,
1015698|pozdercici,1015698,1,0,1015698:121,,Pozderčići,
1015698|prelovo,1015698,1,0,1015698:122,,Prelovo,
1015698|presjeka,1015698,1,0,1015698:123,,Presjeka,
1015698|pretisa,1015698,1,0,1015698:124,,Pretiša,
1015698|prisoje,1015698,1,0,1015698:125,,Prisoje,
1015698|raonici,1015698,1,0,1015698:126,,Raonići,
1015698|repusevici,1015698,1,0,1015698:127,,Repuševići,
1015698|resnik,1015698,1,0,1015698:128,,Resnik,
1015698|rijeka,1015698,1,0,1015698:129,,Rijeka,
1015698|rodic brdo,1015698,1,0,1015698:130,,Rodić Brdo,
1015698|rohci,1015698,1,0,1015698:131,,Rohci,
1015698|rujista,1015698,1,0,1015698:132,,Rujišta,
1015698|rutenovici,1015698,1,0,1015698:133,,Rutenovići,
1015698|rzav,1015698,1,0,1015698:134,,Rzav,
1015698|sase,1015698,1,0,1015698:135,,Sase,
1015698|seganje,1015698,1,0,1015698:141,,Šeganje,
1015698|sendici,1015698,1,0,1015698:136,,Sendići,
1015698|sip,1015698,1,0,1015698:142,,Šip,
1015698|smrijecje,1015698,1,0,1015698:137,,Smriječje,
1015698|stanisevac,1015698,1,0,1015698:138,,Staniševac,
1015698|stolac,1015698,1,0,1015698:139,,Stolac,
1015698|strazbenice,1015698,1,0,1015698:140,,Stražbenice,
1015698|sumice,1015698,1,0,1015698:143,,Šumice,
1015698|trsevine,1015698,1,0,1015698:144,,Trševine,
1015698|tupesi,1015698,1,0,1015698:145,,Tupeši,
1015698|turjak,1015698,1,0,1015698:146,,Turjak,
1015698|tusta me,1015698,1,0,1015698:147,,Tusta Međ,
1015698|tvrtkovici,1015698,1,0,1015698:148,,Tvrtkovići,
1015698|ubava,1015698,1,0,1015698:149,,Ubava,
1015698|unista,1015698,1,0,1015698:150,,Uništa,
1015698|urevici,1015698,1,0,1015698:49,,Đurevići,
1015698|usce lima,1015698,1,0,1015698:151,,Ušće Lima,
1015698|veletovo,1015698,1,0,1015698:152,,Veletovo,
1015698|velika gostilja,1015698,1,0,1015698:153,,Velika Gostilja,
1015698|velje polje,1015698,1,0,1015698:154,,Velje Polje,
1015698|velji lug,1015698,1,0,1015698:155,,Velji Lug,
1015698|visegrad,1015698,1,0,1015698:156,,Višegrad,
1015698|visegradska banja,1015698,1,0,1015698:157,,Višegradska Banja,
1015698|vlahovici,1015698,1,0,1015698:158,,Vlahovići,
1015698|vodenice,1015698,1,0,1015698:159,,Vodenice,
1015698|vucine,1015698,1,0,1015698:160,,Vučine,
1015698|zagorac,1015698,1,0,1015698:161,,Zagorac,
1015698|zagre,1015698,1,0,1015698:166,,Žagre,
1015698|zakrsnica,1015698,1,0,1015698:162,,Zakrsnica,
1015698|zanozje,1015698,1,0,1015698:163,,Zanožje,
1015698|zemljice,1015698,1,0,1015698:164,,Zemljice,
1015698|zlatnik,1015698,1,0,1015698:165,,Zlatnik,
1015698|zlijeb,1015698,1,0,1015698:167,,Žlijeb,
1017148|bag,1017148,1,0,1017148:5,,Bag,
1017148|buzim,1017148,1,0,1017148:6,,Bužim,
1017148|dobro selo,1017148,1,0,1017148:7,,Dobro Selo,
1017148|konjodor,1017148,1,0,1017148:8,,Konjodor,
1017148|lubarda,1017148,1,0,1017148:9,,Lubarda,
1017148|mrazovac,1017148,1,0,1017148:10,,Mrazovac,
1017148|naseljeno mjesto,1017148,1,0,1017148:4,,Naseljeno mjesto,
1017148|varoska rijeka,1017148,1,0,1017148:11,,Varoška Rijeka,
10189|breza,10189,0,28,,107735; 107743; 107751,,Breza; Breza; Breza
