sid,clusterLabel,scaleLabel,shapeLabel,locationLabel,centroidX,centroidY,minX,minY,maxX,maxY,w,h,A
10014:100013,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,673.587566,284.773783,671.392800,281.012600,676.735700,289.910200,5.342900,8.897600,47.538987
10014:100021,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,652.247959,287.516291,647.744300,278.558900,660.704800,294.761500,12.960500,16.202600,209.993797
10014:100030,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,652.782471,277.379242,648.307700,275.296800,658.625740,281.795700,10.318040,6.498900,67.055910
10014:100048,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,649.414557,298.679508,642.498200,291.934820,653.339580,304.355760,10.841380,12.420940,134.660130
10014:100056,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,673.125225,276.209398,670.371800,270.175600,676.928800,281.679900,6.557000,11.504300,75.433695
10014:100064,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,668.249011,279.153304,664.003800,269.532600,672.905200,286.788500,8.901400,17.255900,153.601668
10014:100072,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,631.545006,274.661420,621.180770,262.545610,642.589600,281.789900,21.408830,19.244290,411.997733
10014:100099,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,647.650699,281.673066,643.161000,278.000120,649.667600,287.387800,6.506600,9.387680,61.081879
10014:100102,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,644.252393,298.460255,641.680860,293.343200,646.875170,304.316800,5.194310,10.973600,57.000280
10014:100129,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,677.194780,279.929178,673.655390,276.329870,683.108200,283.724920,9.452810,7.395050,69.904003
10014:100137,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,680.423221,283.255714,675.485200,278.616490,683.283870,286.404200,7.798670,7.787710,60.733780
10014:100145,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,664.755048,288.545267,658.354560,284.619620,671.428900,293.805400,13.074340,9.185780,120.098011
10014:100153,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,643.064242,278.599651,638.631090,273.145820,648.260900,285.129480,9.629810,11.983660,115.400369
10014:100161,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,673.227212,301.439356,659.516800,284.852000,684.139700,320.666700,24.622900,35.814700,881.861777
10014:100170,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,634.392697,271.529223,628.224200,262.735830,641.140100,277.410500,12.915900,14.674670,189.536570
10014:100188,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,657.350383,273.479357,653.089500,270.412900,659.393610,276.364230,6.304110,5.951330,37.517839
10014:100196,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,654.107658,270.513472,649.159780,266.210840,657.567280,275.520240,8.407500,9.309400,78.268780
10014:100200,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,663.347914,277.620812,656.798800,271.287600,666.056900,285.223000,9.258100,13.935400,129.015327
10014:100218,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,657.374345,297.936211,651.605300,290.085100,665.643900,304.778370,14.038600,14.693270,206.272940
10014:164305,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,661.664917,285.744886,659.601580,284.620740,663.490660,286.867910,3.889080,2.247170,8.739424
10049:100811,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,35.502604,121.211277,29.124113,116.971400,42.638513,127.155400,13.514400,10.184000,137.630650
10049:100820,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,14.886833,139.526754,1.000000,131.142700,21.351200,150.201400,20.351200,19.058700,387.867415
10049:100838,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,35.820974,138.819830,19.730900,122.751460,56.435700,163.284060,36.704800,40.532600,1487.740976
10049:100846,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,35.207474,115.313903,27.788301,107.290980,43.152701,123.458030,15.364400,16.167050,248.397023
10049:100854,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,12.855290,96.976337,4.368495,87.599112,18.525200,109.765500,14.156705,22.166388,313.803022
10049:100862,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,75.595392,194.021073,69.357798,181.014040,83.913800,198.667240,14.556002,17.653200,256.960015
