municipality,status,count
Visegrad,needs_fix,55
Konjic,needs_fix,50
Doboj,needs_fix,33
Gorazde,needs_fix,31
Travnik,needs_fix,31
Glamoc,needs_fix,27
Trebinje,needs_fix,27
Gacko,needs_fix,26
Vares,needs_fix,26
Zenica,needs_fix,26
Foca,needs_fix,25
Pale,needs_fix,25
Sokolac,needs_fix,25
Srebrenica,needs_fix,25
Bijeljina,needs_fix,24
Tuzla,needs_fix,24
Zvornik,needs_fix,24
Bugojno,needs_fix,23
Derventa,needs_fix,23
Kakanj,needs_fix,23
Kiseljak,needs_fix,23
Rudo,needs_fix,23
Lopare,needs_fix,22
Cazin,needs_fix,21
Donji Vakuf,needs_fix,21
Prnjavor,needs_fix,21
Teslic,needs_fix,20
Bihac,needs_fix,19
Ilijas,needs_fix,19
Prijedor,needs_fix,19
Bileca,needs_fix,18
Livno,needs_fix,18
Modrica,needs_fix,18
Tesanj,needs_fix,18
Velika Kladusa,needs_fix,18
Bosanska Krupa,needs_fix,17
Hadzici,needs_fix,17
Srebrenik,needs_fix,17
Bratunac,needs_fix,16
Kljuc,needs_fix,16
Rogatica,needs_fix,16
Trnovo (FBiH),needs_fix,16
Tomislavgrad,needs_fix,15
Ugljevik,needs_fix,15
Visoko,needs_fix,15
Brcko,needs_fix,14
Prozor,needs_fix,14
Sanski Most,needs_fix,14
Gornji Vakuf-Uskoplje,needs_fix,13
Gradacac,needs_fix,13
Jajce,needs_fix,13
Kalesija,needs_fix,13
Kladanj,needs_fix,13
Lukavac,needs_fix,13
Mostar,needs_fix,13
Novi Travnik,needs_fix,13
Sipovo,needs_fix,13
Srbac,needs_fix,13
Zivinice,needs_fix,13
Bosanski Samac,needs_fix,12
Celic,needs_fix,12
Laktasi,needs_fix,12
Maglaj,needs_fix,12
Milici,needs_fix,12
Ravno,needs_fix,12
Siroki Brijeg,needs_fix,12
Kresevo,needs_fix,11
Pelagicevo,needs_fix,11
Banja Luka,needs_fix,10
Bosanska Gradiska,needs_fix,10
Busovaca,needs_fix,10
Capljina,needs_fix,10
Jablanica,needs_fix,10
Kupres,needs_fix,10
Nevesinje,needs_fix,10
Olovo,needs_fix,10
Sekovici,needs_fix,10
Zavidovici,needs_fix,10
Bosanski Petrovac,needs_fix,9
Han Pijesak,needs_fix,9
Kotor Varos,needs_fix,9
Neum,needs_fix,9
Novo Gorazde,needs_fix,9
Stolac,needs_fix,9
Trnovo (RS),needs_fix,9
Vukosavlje,needs_fix,9
Banovici,needs_fix,8
Cajnice,needs_fix,8
Celinac,needs_fix,8
Dobretici,needs_fix,8
Mrkonjic Grad,needs_fix,8
Orasje,needs_fix,8
Vitez,needs_fix,8
Bosanska Dubica,needs_fix,7
Bosanski Novi,needs_fix,7
Citluk,needs_fix,7
Fojnica,needs_fix,7
Gracanica,needs_fix,7
Istocni Stari Grad,needs_fix,7
Krupa na Uni,needs_fix,7
Ljubuski,needs_fix,7
Vlasenica,needs_fix,7
Zepce,needs_fix,7
Bosanski Brod,needs_fix,6
Bosansko Grahovo,needs_fix,6
Foca Ustikolina,needs_fix,6
Berkovici,needs_fix,5
Buzim,needs_fix,5
Odzak,needs_fix,5
Ostra Luka,needs_fix,5
Pale (FBiH),needs_fix,5
Posusje,needs_fix,5
Drvar,needs_fix,4
Kalinovik,needs_fix,4
Knezevo,needs_fix,4
Ljubinje,needs_fix,4
Ribnik,needs_fix,4
Sapna,needs_fix,4
Stari Grad Sarajevo,needs_fix,4
Doboj Istok,needs_fix,3
Donji Zabar,needs_fix,3
Ilidza,needs_fix,3
Teocak,needs_fix,3
Usora,needs_fix,3
Domaljevac-Samac,needs_fix,2
Grude,needs_fix,2
Istocno Novo Sarajevo,needs_fix,2
Osmaci,needs_fix,2
Petrovo,needs_fix,2
Doboj Jug,needs_fix,1
Istocni Drvar,needs_fix,1
Istocni Mostar,needs_fix,1
Kostajnica,needs_fix,1
Novi Grad Sarajevo,needs_fix,1
Zvornik,has_invalid_subpaths,1
