mid,municipality_name,sid,settlement_name,total_population,bosniaks,croats,serbs,others,geometry_key,svg_source,has_svg,is_urban_center,is_municipality_capital
1012045,Šamac,903215559,Grebnice,758,,663,,23,1012045:grebnice,,false,false,false
1012045,Šamac,905456355,Šamac,6239,,827,,1479,1012045:samac,,false,true,true
1012045,Šamac,913625188,Lugovi,441,,407,,19,1012045:lugovi,,false,false,false
1012045,Šamac,925933060,Zasavica,558,,524,,23,1012045:zasavica,,false,false,false
1012045,Šamac,926420103,Gornji Hasić,607,,560,,25,1012045:gornji hasic,,false,false,false
1012045,Šamac,928751800,Brvnik,498,,18,,5,1012045:brvnik,,false,false,false
1012045,Šamac,934258692,Donji Hasić,1029,,978,,38,1012045:donji hasic,,false,false,false
1012045,Šamac,935051125,Obudovac,3199,,16,,43,1012045:obudovac,,false,true,false
1012045,Šamac,937276678,Tišina,1943,,1003,,121,1012045:tisina,,false,false,false
1012045,Šamac,939188819,Srednja Slatina,1277,,918,,18,1012045:srednja slatina,,false,false,false
1012045,Šamac,939904054,Kruškovo Polje,706,,8,,25,1012045:kruskovo polje,,false,false,false
1012045,Šamac,946144861,Kornica,830,,802,,19,1012045:kornica,,false,false,false
1012045,Šamac,946441096,Gajevi,601,,4,,19,1012045:gajevi,,false,false,false
1012045,Šamac,946794679,Gornja Slatina,1361,,3,,41,1012045:gornja slatina,,false,false,false
1012045,Šamac,947448192,Donja Slatina,623,,2,,11,1012045:donja slatina,,false,false,false
1012045,Šamac,949462014,Pisari,608,,8,,68,1012045:pisari,,false,false,false
1012045,Šamac,965052697,Novo Selo,1095,,907,,32,1012045:novo selo,,false,false,false
1012045,Šamac,968482154,Crkvina,1704,,18,,104,1012045:crkvina,,false,false,false
1012045,Šamac,973779706,Njegoševo,0,,0,,0,1012045:njegosevo,,false,false,false
1012045,Šamac,976393005,Škarić,298,,1,,14,1012045:skaric,,false,false,false
1012045,Šamac,976526607,Batkuša,924,,2,,15,1012045:batkusa,,false,false,false
1015698,Višegrad,900625445,Gornja Brštanica,49,,0,,1,1015698:gornja brstanica,,false,false,false
1015698,Višegrad,900769706,Rzav,102,,0,,1,1015698:rzav,,false,false,false
1015698,Višegrad,900834392,Gornji Dubovik,18,,0,,0,1015698:gornji dubovik,,false,false,false
1015698,Višegrad,900870467,Jelačići,131,,0,,0,1015698:jelacici,,false,false,false
1015698,Višegrad,901778262,Granje,28,,0,,0,1015698:granje,,false,false,false
1015698,Višegrad,901790776,Donja Jagodina,108,,1,,3,1015698:donja jagodina,,false,false,false
1015698,Višegrad,903326928,Žagre,60,,0,,0,1015698:zagre,,false,false,false
1015698,Višegrad,903574256,Gazibare,30,,0,,0,1015698:gazibare,,false,false,false
1015698,Višegrad,904073849,Ćaćice,115,,0,,0,1015698:cacice,,false,false,false
1015698,Višegrad,904215193,Rutenovići,38,,0,,0,1015698:rutenovici,,false,false,false
1015698,Višegrad,906158292,Kosovo Polje,167,,0,,0,1015698:kosovo polje,,false,false,false
1015698,Višegrad,906590616,Greben,108,,0,,3,1015698:greben,,false,false,false
1015698,Višegrad,906682377,Kupusovići,64,,0,,2,1015698:kupusovici,,false,false,false
1015698,Višegrad,907163339,Zakrsnica,61,,0,,0,1015698:zakrsnica,,false,false,false
1015698,Višegrad,907421548,Orahovci,124,,0,,1,1015698:orahovci,,false,false,false
1015698,Višegrad,907874550,Holijačka Luka,0,,0,,0,1015698:holijacka luka,,false,false,false
1015698,Višegrad,908702767,Donji Dobrun,367,,1,,7,1015698:donji dobrun,,false,false,false
1015698,Višegrad,909163696,Bogdašići,48,,0,,0,1015698:bogdasici,,false,false,false
1015698,Višegrad,910497356,Poljanice,35,,0,,2,1015698:poljanice,,false,false,false
1015698,Višegrad,911252218,Crijep,136,,0,,0,1015698:crijep,,false,false,false
1015698,Višegrad,911343112,Okrugla,153,,0,,1,1015698:okrugla,,false,false,false
1015698,Višegrad,911690706,Drokan,23,,0,,0,1015698:drokan,,false,false,false
1015698,Višegrad,911823424,Masali,80,,0,,0,1015698:masali,,false,false,false
1015698,Višegrad,912664394,Vlahovići,149,,0,,1,1015698:vlahovici,,false,false,false
1015698,Višegrad,912869322,Tvrtkovići,44,,0,,0,1015698:tvrtkovici,,false,false,false
1015698,Višegrad,915203315,Mušići,130,,0,,12,1015698:musici,,false,false,false
1015698,Višegrad,915255728,Blaž,20,,0,,0,1015698:blaz,,false,false,false
1015698,Višegrad,916847080,Đipi,77,,0,,0,1015698:đipi,,false,false,false
1015698,Višegrad,917627317,Gornje Štitarevo,105,,0,,0,1015698:gornje stitarevo,,false,false,false
1015698,Višegrad,918376685,Mangalin Han,20,,0,,0,1015698:mangalin han,,false,false,false
1015698,Višegrad,918520229,Nezuci,263,,1,,0,1015698:nezuci,,false,false,false
1015698,Višegrad,919982991,Kustur Polje,71,,0,,0,1015698:kustur polje,,false,false,false
1015698,Višegrad,920230247,Mirlovići,25,,0,,1,1015698:mirlovici,,false,false,false
1015698,Višegrad,920545251,Đurevići,58,,0,,1,1015698:đurevici,,false,false,false
1015698,Višegrad,921180739,Faljenovići,11,,0,,0,1015698:faljenovici,,false,false,false
1015698,Višegrad,921261523,Smriječje,45,,0,,1,1015698:smrijecje,,false,false,false
1015698,Višegrad,921374946,Donje Dubovo,50,,0,,0,1015698:donje dubovo,,false,false,false
1015698,Višegrad,922124503,Bjegovići,37,,0,,0,1015698:bjegovici,,false,false,false
1015698,Višegrad,922759963,Češalj,50,,0,,0,1015698:cesalj,,false,false,false
1015698,Višegrad,923895240,Jablanica,28,,0,,0,1015698:jablanica,,false,false,false
1015698,Višegrad,924035392,Jelašci,31,,0,,0,1015698:jelasci,,false,false,false
1015698,Višegrad,924597620,Hadrovići,14,,0,,0,1015698:hadrovici,,false,false,false
1015698,Višegrad,927392557,Haluge,97,,0,,5,1015698:haluge,,false,false,false
1015698,Višegrad,927657463,Brezje,16,,0,,0,1015698:brezje,,false,false,false
1015698,Višegrad,927784118,Međuselje,57,,0,,0,1015698:međuselje,,false,false,false
1015698,Višegrad,928606554,Staniševac,36,,0,,0,1015698:stanisevac,,false,false,false
1015698,Višegrad,928857287,Drina,45,,0,,0,1015698:drina,,false,false,false
1015698,Višegrad,929138484,Džankići,85,,0,,0,1015698:dzankici,,false,false,false
1015698,Višegrad,929517417,Tupeši,35,,0,,0,1015698:tupesi,,false,false,false
1015698,Višegrad,934618485,Velji Lug,310,,0,,4,1015698:velji lug,,false,false,false
1015698,Višegrad,934626136,Raonići,50,,0,,0,1015698:raonici,,false,false,false
